#  telescope	date	JD	airmass	filter_obs	filter	constant
  FTN_FS	2011-10-16T05:59:22.942	55850.250	2.360	      dophot	  r  27.2892  gr 0.06315 | 0.153  0.0
  FTN_FS	2011-10-16T05:59:22.942	55850.250	2.360	      dophot	  r  27.3049  ri 0.07793 | 0.201  0.0
  FTN_FS	2011-12-23T15:59:23.817	55918.666	2.532	      dophot	  r  27.0393  gr 0.06239 | 0.965  0.0
  FTN_FS	2011-12-23T15:59:23.817	55918.666	2.532	      dophot	  r  27.0392  ri 0.17255 | 0.976  0.0
  FTN_FS	2011-12-29T15:49:21.649	55924.659	2.256	      dophot	  r  27.1895  gr -0.0073 | 0.000  0.0
  FTN_FS	2011-12-29T15:49:21.649	55924.659	2.256	      dophot	  r  27.1917  ri -0.0442 | 0.028  0.0
  FTN_FS	2011-12-29T15:55:04.612	55924.663	2.157	      dophot	  r  27.1426  gr -0.0147 | 0.030  0.0
  FTN_FS	2011-12-29T15:55:04.612	55924.663	2.157	      dophot	  r  27.1425  ri -0.0229 | 0.036  0.0
  FTN_FS	2011-12-30T15:38:10.880	55925.652	2.394	      dophot	  r  27.0978  gr 0.03445 | 0.005  0.0
  FTN_FS	2011-12-30T15:38:10.880	55925.652	2.394	      dophot	  r  27.1078  ri 0.03997 | 0.006  0.0
  FTN_FS	2011-12-30T15:54:35.715	55925.663	2.103	      dophot	  r  27.0505  gr 0.05870 | 0.025  0.0
  FTN_FS	2011-12-30T15:54:35.715	55925.663	2.103	      dophot	  r  27.0663  ri 0.07546 | 0.037  0.0
  FTN_FS	2011-04-18T14:22:56.888	55669.599	1.045	      dophot	  i  27.1157  ri 0.07078 | 0.516  0.0
  FTN_FS	2011-04-21T12:24:54.771	55672.517	1.009	      dophot	  i  27.0740  ri 0.04004 | 0.282  0.0
  FTN_FS	2011-04-24T12:26:07.214	55675.518	1.003	      dophot	  i  27.1286  ri 0.04964 | 0.560  0.0
  FTN_FS	2011-04-25T13:35:41.964	55676.566	1.023	      dophot	  i  27.2109  ri 0.01249 | 0.008  0.0
  FTN_FS	2011-04-26T14:52:17.362	55677.620	1.167	      dophot	  i  27.1704  ri 0.02454 | 0.195  0.0
  FTN_FS	2011-04-28T14:57:50.284	55679.623	1.208	      dophot	  i  26.9327  ri 0.02674 | 0.236  0.0
  FTN_FS	2011-04-30T14:11:11.034	55681.591	1.104	      dophot	  i  27.9104  ri 0.05407 | 0.661  0.0
  FTN_FS	2011-05-14T12:16:17.161	55695.511	1.019	      dophot	  i  27.0863  ri 0.06975 | 0.226  0.0
  FTN_FS	2011-05-15T12:11:42.170	55696.508	1.018	      dophot	  i  27.5531  ri 0.04455 | 0.648  0.0
  FTN_FS	2011-10-16T05:52:17.379	55850.245	2.226	      dophot	  i  27.1670  ri 0.04471 | 0.036  0.0
  FTN_FS	2011-12-26T15:54:30.852	55921.663	2.382	      dophot	  i  27.0067  ri 0.12394 | 0.198  0.0
  FTN_FS	2011-12-29T16:02:15.754	55924.668	2.047	      dophot	  i  26.9995  ri 0.05602 | 0.286  0.0
  FTN_FS	2011-12-29T15:42:16.478	55924.654	2.391	      dophot	  i  26.9966  ri 0.17207 | 0.317  0.0
  FTN_FS	2011-12-30T15:41:39.695	55925.654	2.326	      dophot	  i  26.9885  ri 0.08711 | 0.215  0.0
  FTN_FS	2011-12-30T15:47:30.513	55925.658	2.218	      dophot	  i  27.0137  ri 0.01168 | 0.002  0.0
  FTN_FS	2011-08-25T05:54:50.138	55798.246	1.656	      dophot	  g  26.9594  gr    0.16 |     0  0.0
  FTN_FS	2011-08-25T05:44:42.041	55798.239	1.604	      dophot	  g  26.9369  gr    0.16 |     0  0.0
  FTN_FS	2011-08-25T05:51:29.832	55798.244	1.638	      dophot	  g  26.9154  gr    0.16 |     0  0.0
  FTN_FS	2011-08-25T05:48:09.426	55798.242	1.621	      dophot	  g  26.9148  gr    0.16 |     0  0.0
  FTN_FS	2011-08-26T06:14:03.442	55799.260	1.794	      dophot	  g  24.9677  gr    0.16 |     0  0.0
  FTN_FS	2011-08-26T05:39:15.465	55799.236	1.597	      dophot	  g  25.3987  gr    0.16 |     0  0.0
  FTN_FS	2011-08-27T05:38:10.226	55800.235	1.611	      dophot	  g  25.4505  gr    0.16 |     0  0.0
  FTN_FS	2011-08-27T06:36:20.065	55800.275	1.994	      dophot	  g  23.7226  gr    0.16 |     0  0.0
  FTN_FS	2011-08-28T05:52:00.852	55801.244	1.706	      dophot	  g  25.4299  gr    0.16 |     0  0.0
  FTN_FS	2011-08-29T05:33:49.783	55802.232	1.628	      dophot	  g  25.4271  gr    0.16 |     0  0.0
  FTN_FS	2011-08-29T06:44:25.129	55802.281	2.146	      dophot	  g  25.3492  gr    0.16 |     0  0.0
  FTN_FS	2011-08-30T05:46:18.610	55803.240	1.718	      dophot	  g  24.9470  gr    0.16 |     0  0.0
  FTN_FS	2011-08-31T06:02:14.267	55804.252	1.849	      dophot	  g  24.8823  gr    0.16 |     0  0.0
  FTN_FS	2011-09-01T05:57:22.917	55805.248	1.842	      dophot	  g  24.9180  gr    0.16 |     0  0.0
  FTN_FS	2011-09-02T05:30:13.099	55806.229	1.693	      dophot	  g  24.5038  gr    0.16 |     0  0.0
  FTN_FS	2011-09-02T06:53:27.220	55806.287	2.443	      dophot	  g  24.4334  gr    0.16 |     0  0.0
  FTN_FS	2011-09-03T05:53:05.870	55807.245	1.868	      dophot	  g  24.5647  gr    0.16 |     0  0.0
  FTN_FS	2011-09-05T05:59:25.685	55809.250	1.981	      dophot	  g  24.5527  gr    0.16 |     0  0.0
  FTN_FS	2011-09-07T06:31:17.031	55811.272	2.409	      dophot	  g  23.8381  gr    0.16 |     0  0.0
  FTN_FS	2011-09-07T05:57:01.705	55811.248	2.029	      dophot	  g  24.3336  gr    0.16 |     0  0.0
  FTN_FS	2011-09-08T06:33:40.319	55812.273	2.497	      dophot	  g  24.1241  gr    0.16 |     0  0.0
  FTN_FS	2011-09-09T05:47:25.982	55813.241	2.014	      dophot	  g  24.1489  gr    0.16 |     0  0.0
  FTN_FS	2011-09-09T05:48:04.909	55813.242	2.020	      dophot	  g  24.7205  gr    0.16 |     0  0.0
  FTN_FS	2011-09-10T05:53:00.996	55814.245	2.104	      dophot	  g  24.7642  gr    0.16 |     0  0.0
  FTN_FS	2011-09-10T05:53:00.996	55814.245	2.104	      dophot	  g  24.7642  gr    0.16 |     0  0.0
  FTN_FS	2011-09-10T05:58:27.147	55814.249	2.159	      dophot	  g  25.0785  gr    0.16 |     0  0.0
  FTN_FS	2011-09-11T05:53:28.574	55815.245	2.148	      dophot	  g  24.7201  gr    0.16 |     0  0.0
  FTN_FS	2011-09-11T05:54:20.091	55815.246	2.156	      dophot	  g  24.7155  gr    0.16 |     0  0.0
  FTN_FS	2011-09-11T05:55:11.602	55815.247	2.166	      dophot	  g  25.2076  gr    0.16 |     0  0.0
  FTN_FS	2011-09-15T05:50:50.306	55819.244	2.295	      dophot	  g  24.6610  gr    0.16 |     0  0.0
  FTN_FS	2011-09-15T05:50:50.306	55819.244	2.295	      dophot	  g  24.6610  gr    0.16 |     0  0.0
  FTN_FS	2011-09-18T05:25:17.035	55822.226	2.141	      dophot	  g  25.1177  gr    0.16 |     0  0.0
